billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,KARNATAKA,3639434.592,62467.3474,0.0,3617150.712,61931.3474,0.0,99.39,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,KARNATAKA,1623961.4573,28122.0992,0.0,1613151.3273,27876.0992,0.0,99.33,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,KARNATAKA,1975165.9356,33963.936,0.0,1968382.1756,33811.936,0.0,99.66,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,KARNATAKA,2793264.5884,43860.3915,0.0,2783237.5884,43630.3915,0.0,99.64,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,KARNATAKA,3824983.5897,58915.2244,4008.24,3814040.7497,58683.2244,0.1,99.71,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,KARNATAKA,3707312.9487,57480.4352,0.0,3691118.0887,57117.4352,0.0,99.56,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,KARNATAKA,3612254.9382,55862.6067,0.0,3593941.5982,55440.6067,0.0,99.49,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,KARNATAKA,2970147.5751,45613.4784,0.0,2955310.8451,45271.4784,0.0,99.5,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,KARNATAKA,2991440.2072,46572.7974,0.0,2976820.7072,46240.7974,0.0,99.51,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,KARNATAKA,3412774.1089,52836.3542,0.0,3399479.3489,52539.3542,0.0,99.61,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,KARNATAKA,2545601.142,39254.5696,0.0,2532974.342,38974.5696,0.0,99.5,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,KARNATAKA,1852621.7203,29281.3832,4008.24,1839890.5303,29015.3832,0.22,99.31,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,KARNATAKA,3215640.4737,48884.5578,0.0,3204739.5811,48644.8539,0.0,99.66,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,KARNATAKA,2050652.6567,31640.4685,19373.16,2023143.5674,31113.3973,0.94,98.66,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,KARNATAKA,2667819.8764,41263.7845,0.0,2662182.8889,41139.4243,0.0,99.79,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,KARNATAKA,3582683.2183,55112.8988,8411.6553,3568516.3708,54842.3579,0.23,99.6,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,KARNATAKA,3638031.8978,56257.435,0.0,3633854.7816,56172.8255,0.0,99.89,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,KARNATAKA,4187952.8198,64860.4138,0.0,4181991.6215,64742.0697,0.0,99.86,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,KARNATAKA,2746229.6729,42614.6836,0.0,2739526.1138,42478.5146,0.0,99.76,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,KARNATAKA,2889026.047,44511.8005,2004.4797,2881866.7834,44372.3613,0.07,99.75,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,KARNATAKA,2395509.8114,37053.5673,0.0,2387394.9842,36888.4277,0.0,99.66,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,KARNATAKA,2389575.8954,37167.843,3413.1952,2378961.3544,36964.0326,0.14,99.56,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,KARNATAKA,2099553.1669,32433.5164,890.88,2093721.8469,32295.1926,0.04,99.72,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,KARNATAKA,1468434.1681,22970.6608,0.0,1464499.0456,22890.3801,0.0,99.73,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,KARNATAKA,2034974.9802,31219.057,6680.4,2020190.586,30949.3122,0.33,99.27,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,KARNATAKA,2174796.3117,33643.8341,2393.81,2159275.9099,33361.7758,0.11,99.29,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,KARNATAKA,2689616.6054,41684.4356,790.54,2669632.0489,41319.2324,0.03,99.26,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,KARNATAKA,2456863.4425,37430.2765,0.0,2441940.9468,37152.9646,0.0,99.39,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,KARNATAKA,2916154.0413,44280.5242,2364.5111,2905722.9251,44093.0718,0.08,99.64,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,KARNATAKA,3723028.7655,57225.0481,49955.7005,3657490.7328,56099.5601,1.34,98.24,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,KARNATAKA,2333043.1548,35002.4485,0.0,2326360.3373,34882.7242,0.0,99.71,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,KARNATAKA,2336080.777,35714.1043,0.0,2328749.9527,35579.3825,0.0,99.69,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,KARNATAKA,2237764.5447,34166.9579,222.72,2221878.799,33881.9966,0.01,99.29,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,KARNATAKA,2421074.2254,36759.9854,12736.68,2399481.2891,36373.9414,0.53,99.11,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,KARNATAKA,2143251.3938,32671.0895,0.0,2132652.7222,32481.322,0.0,99.51,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,KARNATAKA,1330301.0865,20332.6818,0.0,1323872.595,20215.984,0.0,99.52,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,KARNATAKA,1928985.9454,29458.1148,2039.04,1917406.5499,29247.3389,0.11,99.4,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,KARNATAKA,1795358.3718,27410.9619,0.0,1786309.0856,27242.6126,0.0,99.5,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,KARNATAKA,433939.5739,6524.2908,0.0,426794.136,6391.3019,0.0,98.35,92.94,33.86,52.24,5.87,True,monthly_climatology,
